gene_symbols,gene_ids
rspo1,ENSG00000028277
stk32a,ENSG00000185668
zeb2,ENSG00000184486
mt1e,ENSG00000106536
tacr3,ENSG00000137509
gsx1,ENSG00000142611
pcdh7,ENSG00000152784
robo1,ENSG00000154229
alcam,ENSG00000117707
sln,ENSG00000168229
emx2,ENSG00000153707
sema3e,ENSG00000273993
tmem182,ENSG00000196090
elovl6,ENSG00000106278
kcns3,ENSG00000163661
chd7,ENSG00000100362
hopx,ENSG00000068976
rxfp1,ENSG00000115828
neurod2,ENSG00000168461
enc1,ENSG00000077092
vat1l,ENSG00000078328
aqp4,ENSG00000167281
gap43,ENSG00000114115
calb2,ENSG00000138207
sntb1,ENSG00000117602
id4,ENSG00000121039
pde3a,ENSG00000189056
arpp21,ENSG00000143333
znf680,ENSG00000166405
hpse,ENSG00000169855
sncg,ENSG00000185008
ndnf,ENSG00000198963
vwc2l,ENSG00000177519
cntnap2,ENSG00000169218
gpr149,ENSG00000147655
zic4,ENSG00000171509
nppa,ENSG00000277069
chrna7,ENSG00000143171
nrip3,ENSG00000256463
lpl,ENSG00000182568
nr2f1,ENSG00000119042
arl4d,ENSG00000079689
foxg1,ENSG00000159307
rprm,ENSG00000075213
nhlh2,ENSG00000075223
adamtsl1,ENSG00000170381
neurog2,ENSG00000092421
ambn,ENSG00000282307
erbb4,ENSG00000281230
maf,ENSG00000104332
egr3,ENSG00000145423
slc17a8,ENSG00000164690
htr1d,ENSG00000180730
tshz1,ENSG00000138083
th,ENSG00000005020
gsx2,ENSG00000104888
mab21l1,ENSG00000179520
shisa2,ENSG00000079215
oxtr,ENSG00000101438
penk,ENSG00000183023
znf467,ENSG00000187122
sox2,ENSG00000145147
zbtb20,ENSG00000184564
mgat4c,ENSG00000170290
ap1s2,ENSG00000273772
tshz2,ENSG00000198732
satb1,ENSG00000183963
ephb3,ENSG00000173267
hs3st4,ENSG00000172164
rxfp3,ENSG00000120833
slc8a1,ENSG00000154556
gtf2h2c,ENSG00000108018
smtn,ENSG00000100146
pcdh9,ENSG00000181449
aldh1a3,ENSG00000134595
efna5,ENSG00000124766
pou3f2,ENSG00000110693
slitrk6,ENSG00000164651
drd1,ENSG00000217236
robo2,ENSG00000113140
anks1b,ENSG00000196141
flrt2,ENSG00000152377
npy2r,ENSG00000262655
gprin3,ENSG00000118785
nr2f2,ENSG00000157005
pbx1,ENSG00000139874
ntf3,ENSG00000147488
pou3f1,ENSG00000117069
mapt,ENSG00000169302
cck,ENSG00000137573
slit1,ENSG00000196562
lypd6,ENSG00000122012
helt,ENSG00000163630
wnt7b,ENSG00000129990
hes4,ENSG00000134207
col25a1,ENSG00000006128
fam72b,ENSG00000166863
hmx3,ENSG00000115353
msantd1,ENSG00000169836
reln,ENSG00000136535
il1rapl2,ENSG00000196628
ptprt,ENSG00000218336
spats2l,ENSG00000135269
cpne4,ENSG00000163235
esrrg,ENSG00000180176
mme,ENSG00000151090
sulf2,ENSG00000005108
tcf4,ENSG00000106829
fam114a1,ENSG00000144339
hes5,ENSG00000170417
mbp,ENSG00000116147
peg3,ENSG00000131747
smoc1,ENSG00000103460
grin3a,ENSG00000283085
znf521,ENSG00000179981
brinp2,ENSG00000182463
hmgn2,ENSG00000011105
rorb,ENSG00000276537
mafb,ENSG00000137766
col5a2,ENSG00000171724
aif1,ENSG00000148704
mog,ENSG00000038427
adgrg1,ENSG00000026025
smn2,ENSG00000146469
olig2,ENSG00000106018
cplx3,ENSG00000174453
fam72d,ENSG00000101443
sp9,ENSG00000188064
tenm3,ENSG00000018408
plxna4,ENSG00000060138
hepn1,ENSG00000109906
peg10,ENSG00000181722
sall3,ENSG00000169554
cux1,ENSG00000140836
spon1,ENSG00000091656
fam72c,ENSG00000152977
nbpf11,ENSG00000043355
notch2nla,ENSG00000174963
myh4,ENSG00000102935
nbpf15,ENSG00000181444
nbpf10,ENSG00000165655
lhx1,ENSG00000198795
dach1,ENSG00000173041
